,time,status,model_name,model_type
61,1900-01-01 05:15:00,True,percentage_denied-rule_based,rule_based
62,1900-01-01 05:25:00,True,percentage_denied-rule_based,rule_based
63,1900-01-01 05:27:00,True,percentage_denied-rule_based,rule_based
64,1900-01-01 05:28:00,True,percentage_denied-rule_based,rule_based
65,1900-01-01 05:32:00,True,percentage_denied-rule_based,rule_based
66,1900-01-01 05:34:00,True,percentage_denied-rule_based,rule_based
67,1900-01-01 05:35:00,True,percentage_denied-rule_based,rule_based
68,1900-01-01 05:36:00,True,percentage_denied-rule_based,rule_based
69,1900-01-01 05:37:00,True,percentage_denied-rule_based,rule_based
70,1900-01-01 05:38:00,True,percentage_denied-rule_based,rule_based
71,1900-01-01 05:45:00,True,percentage_denied-rule_based,rule_based
72,1900-01-01 05:47:00,True,percentage_denied-rule_based,rule_based
73,1900-01-01 05:48:00,True,percentage_denied-rule_based,rule_based
74,1900-01-01 05:49:00,True,percentage_denied-rule_based,rule_based
75,1900-01-01 05:52:00,True,percentage_denied-rule_based,rule_based
76,1900-01-01 05:53:00,True,percentage_denied-rule_based,rule_based
77,1900-01-01 05:58:00,True,percentage_denied-rule_based,rule_based
78,1900-01-01 06:01:00,True,percentage_denied-rule_based,rule_based
79,1900-01-01 06:02:00,True,percentage_denied-rule_based,rule_based
80,1900-01-01 06:03:00,True,percentage_denied-rule_based,rule_based
81,1900-01-01 06:04:00,True,percentage_denied-rule_based,rule_based
82,1900-01-01 06:06:00,True,percentage_denied-rule_based,rule_based
83,1900-01-01 06:07:00,True,percentage_denied-rule_based,rule_based
84,1900-01-01 06:08:00,True,percentage_denied-rule_based,rule_based
85,1900-01-01 06:10:00,True,percentage_denied-rule_based,rule_based
86,1900-01-01 06:23:00,True,percentage_denied-rule_based,rule_based
87,1900-01-01 06:27:00,True,percentage_denied-rule_based,rule_based
88,1900-01-01 06:31:00,True,percentage_denied-rule_based,rule_based
89,1900-01-01 06:33:00,True,percentage_denied-rule_based,rule_based
90,1900-01-01 06:37:00,True,percentage_denied-rule_based,rule_based
91,1900-01-01 06:43:00,True,percentage_denied-rule_based,rule_based
92,1900-01-01 06:53:00,True,percentage_denied-rule_based,rule_based
93,1900-01-01 06:57:00,True,percentage_denied-rule_based,rule_based
0,1900-01-01 02:47:00,True,percentage_reversed-predictor,predictor
1,1900-01-01 02:48:00,True,percentage_reversed-predictor,predictor
2,1900-01-01 02:49:00,True,percentage_reversed-predictor,predictor
3,1900-01-01 02:50:00,True,percentage_reversed-predictor,predictor
4,1900-01-01 02:51:00,True,percentage_reversed-predictor,predictor
5,1900-01-01 02:52:00,True,percentage_reversed-predictor,predictor
6,1900-01-01 02:53:00,True,percentage_reversed-predictor,predictor
7,1900-01-01 02:54:00,True,percentage_reversed-predictor,predictor
