,time,status,count
502,1900-01-01 06:53:00,refunded,1
503,1900-01-01 06:54:00,approved,57
504,1900-01-01 06:54:00,denied,8
505,1900-01-01 06:55:00,approved,55
506,1900-01-01 06:55:00,denied,7
507,1900-01-01 06:56:00,approved,46
508,1900-01-01 06:56:00,denied,1
509,1900-01-01 06:57:00,approved,41
510,1900-01-01 06:57:00,denied,6
511,1900-01-01 06:58:00,approved,60
512,1900-01-01 06:58:00,denied,5
513,1900-01-01 06:59:00,denied,2
514,1900-01-01 06:59:00,approved,42
515,1900-01-01 07:00:00,denied,4
516,1900-01-01 07:00:00,approved,53
